APRCRank,APRCGrade,CODE,PI,EXEC,SCICAT,BANDS,time12m_aprc,time7m_aprc,timeTP_aprc,timeNonStd_aprc,Proposal title
690,U,2015.1.00501.S,Leon St̩phane,EU,2,73,2.2,0.0,0.0,0.8,"Investigating the interplay between molecular gas, star formation and a powerful radio jet in the radio galaxy 3C 264"
691,U,2015.1.00386.S,Liu Hauyu Baobab,EA,2,6,4.2,0.0,0.0,4.2,Will the young stellar objects please stand up?
692,U,2015.1.01071.S,Moraghan Anthony,EA,3,6,0.8,0.0,0.0,0.0,Morphology of the NB1/2 and SB1/2 internal bowshocks of HH212 - Jet or wind driven?
693,C,2015.1.00561.S,Kanekar Nissim,OTHER,1,6,0.6,0.0,0.0,0.0,Does the fine structure constant change with time ?
694,C,2015.1.00819.S,Ricci Luca,NA,4,3,3.6,0.0,0.0,0.0,The evolution of small solids in protoplanetary disks: a 3mm ALMA survey in Upper Sco
695,U,2015.1.01311.S,Chin Yi-nan,EA NA,3,46,10.7,0.0,0.0,0.0,Identification and investigation of Starless Cores in the LMC
696,U,2015.1.00886.S,Harris Robert,NA,4,6,2.1,0.0,0.0,1.7,Testing Star-Disk Interaction Models in 2 Pre-main Sequence Multiple Systems
697,C,2015.1.00652.S,Bjerkeli Per,EU,3,6,4.3,0.0,0.0,0.0,Where does all the water in outflows come from?
698,C,2015.1.00808.S,Allison James,OTHER,2,4,0.8,0.0,0.0,0.0,A jet-driven cold gas outflow in the radio galaxy PKS1740-517
699,C,2015.1.01538.S,Paladino Rosita,EU,2,36,8.2,0.0,0.0,0.0,Giant molecular clouds properties along the bar of NGC3627
700,C,2015.1.00779.S,Hayashi Masao,EA,1,3,5.0,0.0,0.0,0.0,Molecular gas content of massive star-forming galaxies in a galaxy cluster at z=1.46
701,C,2015.1.00228.S,Popping Gerg̦,EU,1,643,6.1,0.0,0.0,0.0,An unprecedented view on the properties of the atomic and molecular ISM in a star-forming galaxy at z ~ 2.2
702,U,2015.1.00286.S,Stephens Ian,NA,4,37,8.6,0.0,0.0,8.6,Magnetic Field Morphology in the Planet-Bearing HL Tau Disk
703,C,2015.1.00644.S,Fujita Yutaka,EA,2,6,2.4,0.0,0.0,0.0,Nuclear outflow and inflow in the strongest X-ray cool core of nearby galaxy groups
