APRCRank,APRCGrade,CODE,PI,EXEC,SCICAT,BANDS,time12m_aprc,time7m_aprc,timeTP_aprc,timeNonStd_aprc,Proposal title
772,C,2015.1.00207.S,Casey Caitlin,NA,1,3,6.7,0.0,0.0,0.0,Constraining the Formation of Massive Galaxy Clusters with Dynamics
773,U,2015.1.00922.S,Padgett Deborah,NA,4,7,3.6,0.0,0.0,0.0,The Most Distorted Young Stellar Binary Disk As Seen By ALMA
774,U,2015.1.00181.S,Spinoglio Luigi,EU,2,7,15.0,0.0,0.0,0.0,Feeding and feedback in a complete sample of AGN and Starburst galaxies in the local Universe
775,U,2015.1.01091.S,Stanley Flora,EU,1,7,4.9,0.0,0.0,0.0,Radio-luminous AGN through ALMA's eyes: What is the effect of luminous radio activity on star formation?
776,U,2015.1.00745.S,Davies Frederick,NA,1,6,6.0,0.0,0.0,0.0,Dust Demographics of z > 6 UV-selected Galaxies
777,U,2015.1.01434.S,Flaherty Kevin,NA,4,6,5.8,0.0,0.0,0.0,Constraining Turbulence across Protoplanetary Disk Properties 
778,U,2015.1.00712.S,Goncalves Thiago,EU,2,7,2.8,0.0,0.0,0.0,How are dense star formation clumps formed?
779,U,2015.1.01220.S,Baldi Ranieri,OTHER,2,3,5.1,0.0,0.0,0.0,Probing The Accretion Disk of NGC 7469 with Simultaneous 3 mm and X-Ray Monitoring
780,U,2015.1.00195.S,Kaminski Tomasz,EU,5,39,3.8,0.0,0.0,2.0,Remnants of an ancient stellar merger in CK Vul (Nova 1670)
781,U,2015.1.01533.S,Takahashi Satoko,EA,3,7,5.8,11.6,23.1,0.0,ALMA study of the local collapse and fragmentation dynamics of the Orion integral shaped filament and its cores
782,U,2015.1.01431.S,Lai Shih-Ping,EA,3,978,4.5,0.0,0.0,3.4,Revealing the secrets of VLA1623: an in-depth look into the earliest star formation stage
783,U,2015.1.00135.S,van Dishoeck Ewine,EU,4,7,9.6,0.0,0.0,0.0,Chemistry in the terrestrial planet-forming zone: a unique view with ALMA HCN
784,U,2015.1.01143.S,Treister Ezequiel,CL,1,6,7.0,0.0,0.0,0.0,Gas Contents of the Host Galaxies at z>3 X-ray Selected AGN in COSMOS
785,U,2015.1.00985.S,Tan Jonathan,NA,3,6,7.6,0.0,0.0,7.6,The Primordial Multiplicity at Massive Star Birth
786,C,2015.1.00356.S,French Katheryn,NA,2,3,4.7,0.0,0.0,0.0,Dense Molecular Gas in Post-Starburst Galaxies: A New Laboratory for What Stops Star Formation
787,U,2015.1.01358.S,Barenfeld Scott,NA,4,7,4.5,0.0,0.0,0.0,A Glimpse into the Final Stages of Protoplanetary Disk Evolution
788,U,2015.1.00800.S,Brisbin Drew,CL,1,876,9.8,0.0,0.0,6.7,A fine structure line census to characterize the ISM and metallicities in z~5 galaxies
789,C,2015.1.01578.S,Vieira Joaquin,NA,1,69,4.4,0.0,0.0,0.9,Resolving water emission in the early universe
790,C,2015.1.01439.S,Saito Toshiki,EA,2,34,6.3,0.0,0.0,0.0,UNVEILING MERGER-INDUCED SHOCKS IN MOLECULAR HYDROGEN EMITTING GALAXIES (MOHEGs)
791,C,2015.1.00315.S,Dunne Loretta,EU,2,736,6.4,0.0,0.0,0.0,The secret lives of BADGRS
792,U,2015.1.00427.S,Bally John,NA,5,7,0.6,1.3,0.0,0.0,The Triple Rings of SBW1: A Pre-explosion Snapshot of an SN 1987A Twin
793,U,2015.1.01361.S,Goddi Ciriaco,EU,3,6,5.4,7.2,14.4,0.0,Structure and Evolution of Massive Outflows
794,C,2015.1.00805.S,casassus simon,CL,4,34,5.2,0.0,0.0,4.7,Dissecting lopsided protoplanetary dust traps
795,U,2015.1.00797.S,Caselli Paola,EU,3,73,4.1,7.3,6.0,0.0,A dream comes true: the seeds of star formation revealed within a pre-stellar core. 
796,C,2015.1.01146.S,Principe David,CL,4,6,3.4,0.0,0.0,0.0,Circumstellar Disks at 1-2 Myr: The Beginning of the End?
797,U,2015.1.01552.S,Schady Patricia,EU,1,73,5.9,0.0,0.0,0.0,Is there a deficit of H2 gas in GRB host galaxies?
798,C,2015.1.00408.S,Moscadelli Luca,EU,3,6,3.5,0.0,0.0,0.0,The G16.59-0.051 Disk+Jet System: A Bridge between Low- and High-Mass Star Formation
799,C,2015.1.00925.S,Blanc Guillermo,CL,2,6,13.5,26.9,53.9,0.0,Promoting Diversity: ISM Physics and Star Formation across Different Environments
800,U,2015.1.00093.S,Taniguchi Akio,EA,2,3,8.8,11.7,0.0,0.0,Next-decade's Reference of Molecular Gas Content Survey under the Extreme Environments in AGN-host Galaxy NGC 1068
801,U,2015.1.01029.S,Takakuwa Shigehisa,EA,4,7,2.9,0.0,0.0,0.0,Spiral Structures and Infall in the Circumbinary Disk onto the Circumstellar Disks of a Twin Binary Protostellar System
802,U,2015.1.00498.S,Combes Francoise,EU,2,7,6.1,0.0,0.0,0.0,NGC 4650A: the prototype Polar Ring Galaxy
803,U,2015.1.01173.S,Umehata Hideki,EA,1,8,2.9,0.0,0.0,2.9,Unveiling the hierarchical galaxy formation at a z=3 proto-cluster using [CII]
804,U,2015.1.00123.S,Zinchenko Igor,EU,1,7,1.9,0.0,0.0,0.0,A search for HeH+ and high excitation CO at high redshifts
805,U,2015.1.00901.S,Trejo Alfonso,EA,5,6,1.6,0.0,0.0,0.0,The inner structure of the composite-profile AGB star EP Aquarii
806,U,2015.1.00990.S,Yen Hsi-Wei,EA,3,6,11.3,0.0,0.0,0.0,On Evolution of Mass Accretion of Class 0 Protostars
807,U,2015.1.00244.S,Favre Cecile,NA,3,7,2.5,0.0,0.0,0.0,Understanding the main formation route of complex nitrogen bearing species
808,C,2015.1.00791.S,Hardy Adam,CL,4,63,5.5,0.0,0.0,0.0,Probing the Final Stage of Protoplanetary Disks Evolution: Gas Clearing Time-scales and Debris Disk Formation
809,U,2015.1.01024.S,Livermore Rachael,NA,1,7,5.3,0.0,0.0,0.0,Exploring the interstellar medium at z~4.5 with [CII] emission
810,U,2015.1.00618.S,Ho Paul,NA,3,9,2.7,3.6,0.0,2.7,"What is heating the Orion-KL hot core?: The explosion, the bubble or Source I "
811,C,2015.1.00705.S,De Looze Ilse,EU,2,76,3.3,6.7,0.0,0.0,Unveiling the submillimeter excess in NGC1705
812,U,2015.1.00673.S,Yen Hsi-Wei,EA,4,7,4.3,0.0,0.0,0.0,A Signpost of Planet Formation: Eccentricity of Protoplanetary Disks
813,C,2015.1.00960.S,Pesce Dominic,NA,2,3,5.4,0.0,0.0,0.0,SiO megamasers in AGN accretion disks
814,C,2015.1.01047.S,Matsushita Satoki,EA,2,3,14.0,0.0,0.0,0.0,Resolving the HCN Enhanced Nuclei in Nearby Seyferts: HCN Masers or Dense Molecular Outflows?
815,U,2015.1.01224.S,Sahai Raghvendra,NA,5,7,4.2,0.0,0.0,0.0,The Nature of the Central Disk in V Hya - A Carbon Star Caught in the Act of transitioning to a Bipolar Pre-Planetary Nebula
816,C,2015.1.01067.S,Dunham Michael,NA,4,6,5.8,0.0,0.0,0.0,Disks Around Outbursting Young Stars
817,U,2015.1.01485.S,Marrone Dan,NA,1,7,7.1,0.0,0.0,0.0,The Dynamics and Structure of Dusty Starbursts in the First 1.5Gyr
818,C,2015.1.01489.S,Lehnert Matthew,EU,1,6,2.2,0.0,0.0,0.0,Outflows and Dissipation in a distant QSO and SMG pair: Where does the energy go?
819,U,2015.1.00849.S,Schmiedeke Anika,EU,3,34967,10.3,3.5,0.0,5.6,Dissecting the core structure of Sagittarius B2
820,U,2015.1.01211.S,Hara Chihomi,EA,3,7,3.7,7.5,15.0,0.0,Unveiling origin of rotating molecular outflow associated with Class-0/I protostar [BHB2007]#11
821,U,2015.1.01458.S,Juhasz Attila,EU,4,6,10.3,0.0,0.0,9.6,Understanding the origin of spiral arms in protoplanetary disks - a key test of planet-disk interaction models
822,C,2015.1.01246.S,Jimenez-Serra Izaskun,EU,3,3,3.4,6.8,0.0,3.4,Understanding Complex Organic Molecule Formation in Solar-system Precursors
823,C,2015.1.00584.S,Feruglio Chiara,EU,1,3,9.0,0.0,0.0,0.0,First detection of high speed molecular gas in a quasar at the EoR
824,C,2015.1.00720.S,Akiyama Kazunori,EA,2,47,2.5,0.0,0.0,0.0,Probing the inner-most region of the relativistic jet in extreme TeV blazars II
825,U,2015.1.00905.S,Crocker Alison,NA,2,6,2.7,0.0,0.0,0.0,Investigating inefficient star-formation in a nearby post-starburst prototype
826,C,2015.1.00792.S,Principe David,CL,4,6,1.8,0.0,0.0,0.0,Imaging the Nearest Known Solar Nebula Analog: MP Mus
827,U,2015.1.00006.S,Turner Jean,NA,2,73,4.2,0.0,0.0,0.0,The gaseous environment of a super star cluster
828,U,2015.1.00911.S,Sandstrom Karin,NA,5,7,5.5,10.9,0.0,0.0,Revealing Hidden Cold Dust in the Core-Collapse Supernova Remnant E0102
829,U,2015.1.01185.S,Zhang Qizhou,NA,3,3,11.4,22.8,0.0,0.0,Is it raining over hub-filament systems?
830,C,2015.1.00813.S,Alberts Stacey,NA,1,6,8.0,0.0,0.0,0.0,Linking the ISM to Star Formation During an Epoch of Active Evolution in Galaxy Clusters
831,U,2015.1.01200.S,Wang Lingyu,EU,1,7,4.8,0.0,0.0,0.0,A direct test of the co-evolution of black hole growth and star-formation activity
832,U,2015.1.00912.S,Guzman Viviana,NA,3,3,6.5,13.1,26.1,0.0,Probing formation and survival of complex organic molecules in UV irradiated gas: The Horsehead PDR
833,U,2015.1.00590.S,Henning Thomas,EU,4,6,4.5,0.0,0.0,0.0,The debris disk analogs of the young Solar System
834,U,2015.1.01204.S,Faesi Christopher,NA,3,3,7.3,14.7,14.6,0.0,NGC 6357: A Laboratory for Testing Modes of Star Formation
835,C,2015.1.00781.S,Banzatti Andrea,NA,4,36,8.8,0.0,0.0,8.8,First direct imaging of the water snow line in protoplanetary disks
836,U,2015.1.00522.S,Dai Xinyu,NA,2,3,4.0,0.0,0.0,4.0,Spatially Resolve Millimeter SiO and CH3OH Mega-Masers in NGC 1068 by ALMA
837,U,2015.1.00559.S,Kriek Mariska,NA,1,4,2.5,0.0,0.0,0.0,Molecular gas content of a recently quenched compact post-starburst galaxy at z=0.604
838,U,2015.1.00746.S,Aalto Susanne,EU,2,79,1.9,0.0,0.0,1.9,A Precessing Molecular Jet in the NGC1377 nucleus: Outburst from an Accreting SMBH?
839,U,2015.1.00426.S,Hatsukade Bunyo,EA,2,7,8.7,0.0,0.0,0.0,Molecular Gas and Dust in the Environment of the Nearest Gamma-ray Burst
840,U,2015.1.01368.S,Sakai Nami,EA,3,4,9.8,0.0,0.0,9.8,Spectral Line Survey of L1527 in the 2mm Band
841,C,2015.1.00486.S,Fedele Davide,EU,4,6,5.1,0.0,0.0,0.0,On the Gas-to-Gust Mass ratio in T Tauri Disks
842,C,2015.1.01043.S,Herrera-Camus Rodrigo,NA,1,7,4.8,0.0,0.0,0.0,Exploring the star formation activity and kinematics of a GRB host at z=4.6
843,U,2015.1.01016.S,Ono Yoshiaki,EA,1,9,3.5,0.0,0.0,3.5,ALMA Study for Chemical Enrichment with Gravitationally Lensed Submillimeter Galaxies at z=4.224-4.567
844,U,2015.1.00417.S,Momose Munetake,EA,3,37,5.8,1.7,3.3,0.0,Imaging of circumstellar matter around  two protostars: from the infalling envelopes to rotation-supported disks
845,C,2015.1.01158.S,Zhang Yichen,CL,3,3,4.2,0.0,0.0,0.0,Massive Molecular Outflows - A Window to Massive Star Formation 
846,C,2015.1.00199.S,Toba Yoshiki,EA,2,476,5.4,0.0,0.0,0.0,Proving the AGN feedback in the extremely IR-bright Dust Obscured Galaxies
847,U,2015.1.00070.S,Blain Andrew,EU,2,3,20.1,0.0,0.0,0.0,Spectral imaging of the host galaxies of extremely luminous AGNs. 
848,C,2015.1.00412.S,Harada Nanase,EA,2,63,4.3,0.0,0.0,0.0,Chemistry in the Brightest Luminous-Infrared Merger
849,U,2015.1.00156.S,Miotello Anna,EU,4,6,7.2,0.0,0.0,0.0,Heavy or light? Old disks may still have sufficient mass to form giant planets.
850,U,2015.1.00005.S,Gunawan Diah,CL,5,7,0.6,0.0,0.0,0.0,Unravelling dust formation in the colliding-wind massive binary WR112
851,U,2015.1.00165.S,Indebetouw Remy,NA,3,36,28.1,0.0,0.0,0.0,The first extreme extragalactic core mass function and sonic scale molecular cloud properties.
852,C,2015.1.01243.S,Cure Michel,CL,4,6,7.0,0.0,0.0,0.0,Molecular gas in debris disks around young A-type stars
853,U,2015.1.01551.S,Shimonishi Takashi,EA,3,67,5.0,0.0,0.0,0.0,Unveiling chemical compositions of high-mass star-forming cores in low metallicity galaxies
854,U,2015.1.00044.S,Inoue Kaiki,EA,1,7,5.9,0.0,0.0,0.0,Probing the origin of flux-ratio anomalies in quadruple lenses with ALMA
855,U,2015.1.00194.S,Molina Juan,CL,1,3,7.6,0.0,0.0,7.6,The resolved view to the molecular gas content in a normal clumpy-disk galaxy at z = 1.46
856,U,2015.1.00367.S,Motogi Kazuhito,EA,3,67,1.5,0.0,0.0,0.0,The first face-on view of the accretin system around a high mass young stellar object G353.273+0.641
857,U,2015.1.01529.S,Takekawa Shunya,EA,2,3,2.9,3.8,7.7,0.0,Imaging of a Fragment of the Parent Cloud of the Galactic Circumnuclear Disk
858,C,2015.1.00859.S,Yusef-Zadeh Farhad,NA,2,63,9.0,0.0,0.0,3.0,Polarization and Flaring Studies of Sgr A* and the Magnetar 1745-29
859,U,2015.1.00630.S,Cataldi Gianni,EU,4,6,3.2,4.2,0.0,0.0,Detailed structure of the Kuiper belt analogue around the planet-hosting Sun-like star q1 Eridani
860,U,2015.1.01401.S,Sargent Mark,EU,2,6937,5.4,0.0,0.0,0.8,HE0450-2958: A mysterious beast waiting for ALMA
861,U,2015.1.01218.S,Karim Alexander,EU,1,7,6.0,0.0,0.0,0.0,Disk or merger: [CII] kinematics uncover modes of extreme star formation at z~4.6
862,U,2015.1.00076.S,Le Bertre Thibaut,EU,5,63,4.6,2.8,0.0,1.4,Mapping the wind structure and kinematics of the AGB star EP Aqr
863,U,2015.1.00620.S,Huelamo Nuria,EU,4,6,4.1,0.0,0.0,4.1,The close environment of the recently formed planet LkCa15b 
864,C,2015.1.00700.S,Walker Daniel,EU,3,6,9.2,0.0,0.0,0.0,Uncovering the Early Formation of the Most Massive Stars
865,U,2015.1.00842.S,Guzman Viviana,NA,3,7,7.4,0.0,0.0,0.0,The 14N/15N isotopic ratio in protoplanetary disks
866,U,2015.1.01110.S,Hine Nancy,EU,1,7,6.5,0.0,0.0,0.0,Deep observations of SMGs in Lyman alpha blobs at z3: confirming the powering mechanism LABs
867,C,2015.1.00927.S,Perley Daniel,NA,1,7,3.7,0.0,0.0,0.0,"Luminous, Dust-Enshrouded High-z Galaxies Selected by Gamma-Ray Bursts"
868,C,2015.1.01232.S,Sano Hidetoshi,EA,3,3,1.2,2.3,4.7,0.0,Revealing the Shock-Interacting Molecular Gas toward the Magellanic Superbubble 30 Doradus C
869,U,2015.1.01556.S,Bellocchi Enrica,EU,2,7,1.0,0.0,0.0,0.0,Massive starburst-driven outflow in NGC 4945?
870,C,2015.1.00732.S,Nakanishi Kouichiro,EA,2,3,8.4,0.0,0.0,6.1,Illuminate NGC 253 Nuclear Starburst by Ionized Gas Imaging in Parsec Scale with ALMA
871,U,2015.1.00232.S,Privon George,CL,2,7,3.9,0.0,0.0,0.0,The Excitation of Dense Gas Tracers in Local Infrared Luminous Starbursts
872,U,2015.1.00930.S,Duchene Gaspard,NA,4,6,1.8,0.0,0.0,0.0,The ALMA edge: Gas and dust in edge-on T Tauri disks
873,C,2015.1.01103.S,Sahai Raghvendra,NA,5,73,6.0,1.5,3.0,0.0,Searching for a Rotating Dusty Disk at the Heart of the Coldest Object in the Universe
874,U,2015.1.01557.S,CaÃ±ameras Raoul,EU,1,8,4.1,0.0,0.0,4.1,Probing the cold neutral medium in 4 of Planck's Dusty GEMS in [CII] with ALMA 
875,U,2015.1.00376.S,Lee Jeong-Eun,EA,3,76,3.4,0.0,0.0,0.0,Piecing together a Protostar: L1527 from the Infalling Envelope to the Keplerian Disk
876,U,2015.1.00115.S,Tan Jonathan,NA,3,6,9.9,0.0,0.0,9.9,A Tale of Two Cores II. Magnetic Fields at the Onset of Massive Star Formation
877,C,2015.1.01064.S,Ota Kazuaki,EU,1,6,7.9,0.0,0.0,0.0,Probing [CII] Line and Dust Continuum of a Star Forming Galaxy in Reionization Epoch
878,C,2015.1.01543.T,Lacaille Kevin,NA,1,347,2.9,0.0,0.0,0.0,Unlensed HyLIRG systems from the South Pole Telescope 2500deg^2 survey
879,U,2015.1.00406.S,Ohishi Masatoshi,EA,3,6,8.2,0.0,0.0,0.0,A Challenge towards the First Detection of Interstellar Glycine
880,C,2015.1.01537.S,Herbst William,NA,4,47,1.0,0.0,0.0,0.0,The Outer Disk of V582 Mon (KH 15D)
881,U,2015.1.00680.S,Rosolowsky Erik,NA,2,3,3.3,4.4,8.7,0.0,Diffuse Gas and Extreme Clouds in M64
882,C,2015.1.00320.S,van de Voort Freeke,EA,2,3,4.0,0.0,0.0,0.0,Star formation suppression in recent minor mergers
883,U,2015.1.01041.S,Testi Leonardo,EU,5,34,1.8,0.0,0.0,0.0,Gas phase FeO and FeS in SN 1987A: a simple and direct measurement of mixing
884,U,2015.1.00887.S,Gonzalez Jorge,CL,1,7,2.1,0.0,0.0,0.0,[CII] and Continuum High Resolution map of a Quasar Host formed through a wet merger of galaxies at z=4.4.
885,U,2015.1.01319.S,Gerin Maryvonne,EU,3,8,1.8,0.0,0.0,1.8,Probing nitrogen chemistry with the ortho-para ratio of the amidogen (NH2) radical
886,U,2015.1.01004.S,Sicilia-Aguilar Aurora,EU,4,6,7.6,0.0,0.0,7.6,GW Ori: Disk experiments with a triple system
887,U,2015.1.00803.S,Salim Diane,OTHER,3,3,1.2,0.0,0.0,0.0,"Testing a universal, turbulence-regulated star formation rate law using ALMA"
888,U,2015.1.00293.S,Mann Rita,NA,4,7,4.6,0.0,0.0,0.0,The Effect of Extreme Environment on Protoplanetary Disks in Orion
889,C,2015.1.00095.S,Iono Daisuke,EA,1,3,9.0,0.0,0.0,0.0,Evolution of Molecular Gas in z=1 Major Mergers
890,C,2015.1.01025.S,Ohashi Satoshi,EA,3,3,2.5,4.9,9.8,0.0,Investigating the dyncamics of a thermal starless core in the Orion A cloud.
891,C,2015.1.00116.S,Kohno Kotaro,EA,2,6,2.4,0.0,0.0,0.0,ALMA study of extremely buried active galactic nuclei identified by the Swift/BAT all sky surveys
892,C,2015.1.00509.S,Prochaska Jason,NA,1,3,6.4,0.0,0.0,0.0,Quasars Probing Quasars: CO observations of projected quasar pairs
893,U,2015.1.00776.S,Carniani Stefano,EU,2,7,3.2,0.0,0.0,0.0,The triggering of vigorous star formation in BR 1202-0725
894,U,2015.1.01472.S,Nozawa Takaya,EA,5,76,4.0,0.0,0.0,0.0,Uncovering the Chemistry and Dynamics of the Dusty Nebula around a Luminous Blue Variable HR Car with ALMA
895,C,2015.1.00237.S,Simon Michal,NA,4,6,7.4,0.0,0.0,0.0,Masses of Low Mass T Tauri Stars
896,U,2015.1.00738.S,Yusef-Zadeh Farhad,NA,3,673,4.5,0.0,0.0,0.0,SiO Observations of the Circumnuclear Molecular Ring and Its Interior
897,U,2015.1.00439.S,Higuchi Aya,EA,4,6,11.8,0.0,0.0,0.0,ALMA observations of debris-disk candidates identified by AKARI
898,U,2015.1.01490.S,DÃ¼nner Planella Rolando,CL,1,43,10.4,0.0,0.0,0.0,An efficient redshift search for ACT star-forming galaxies
899,U,2015.1.00809.S,Tachihara Kengo,EA,3,8,7.3,0.0,0.0,7.3,Chemical and mechanical feedback effect from a young prototstar
900,C,2015.1.00477.S,Sansom Anne,EU,2,6,3.0,0.0,0.0,0.0,Mapping the extent and durability of dust in early-type galaxies detected with Herschel
901,C,2015.1.01235.S,Brand Jan,EU,3,6,6.0,0.0,0.0,0.0,The core mass function in a far-outer Galaxy cloud
902,U,2015.1.00947.S,Matsuda Yuichi,EA,1,8,2.1,0.0,0.0,2.1,A [CII] mapping of a galaxy concentration in the SSA22 protocluster at z=3.09
903,U,2015.1.01032.S,Matsuda Yuichi,EA,1,7,6.4,0.0,0.0,0.0,Dust continuum observations of giant Lya nebulae at z=3.1
904,C,2015.1.01005.S,Ueda Junko,EA,2,743,3.8,0.0,0.0,0.0,JET-ISM interactions in a radio-loud merging galaxy at the initial AGN feedback stage
905,U,2015.1.00892.S,Miura Rie,EA,2,3,3.2,0.0,0.0,0.0,Embedded Young Cluster Survey in the Giant Molecular Clouds in the Nearby Spiral Galaxy M33
906,U,2015.1.00769.S,Gorti Uma,NA,4,93,3.7,0.0,0.0,2.0,Gas Temperature Structure and Mass of the Disk around DM Tau
907,C,2015.1.01277.S,Cure Michel,CL,5,76,1.9,0.0,0.0,0.0,Understanding the Origins of Molecular Gas and Dust in Stellar Environments - Mapping the Homunculus of Eta Carina 
908,U,2015.1.01274.S,Kwon Woojin,EA,4,63,10.0,0.0,0.0,10.0,Capturing Ongoing Planet Formation Features in Thin and Thick Protoplanetary Disks
909,U,2015.1.01420.S,Chen Rosie,EU,3,63,5.1,10.1,20.2,0.0,Probing physical conditions for massive star formation at low metallicity
910,U,2015.1.00775.S,Bernard-Salas Jeronimo,EU,1,98,2.4,0.0,0.0,2.4,The role of OH  outflows in the high redshift Universe
911,U,2015.1.01334.S,Oka Tomoharu,EA,3,7,1.4,2.7,5.5,0.0,Imaging Ultra-High-Velocity Molecular Gas in the W44 Supernova Remnant
912,U,2015.1.01045.S,Saintonge Amelie,EU,2,3,19.7,0.0,0.0,0.0,The relation between the ionised and molecular gas phases in galactic-scale outflows revealed by SAMI
913,U,2015.1.01591.S,Maury Anaelle,EU,3,7,9.4,0.0,0.0,0.0,A mini ALMA survey to test magnetized protostellar collapse: Class 0 protostars from the CALYPSO survey at 20 AU resolution
914,U,2015.1.01065.S,Bertrang Gesa,CL,4,6,5.2,0.0,0.0,5.2,The Spatially Resolved Magnetic Field Of The Protoplanetary Disk TW Hya
915,C,2015.1.01097.S,Komugi Shinya,EA,2,37,5.5,0.0,0.0,0.0,Insights into the CO-H2 Conversion Factor at Ultra-low Metallicity
916,U,2015.1.01206.S,Toshikawa Jun,EA,1,6,3.8,0.0,0.0,0.0,Gas Content of the Highest-redshift Protocluster
917,C,2015.1.01012.S,Ibar Edo,CL,1,3,3.2,0.0,0.0,0.0,Disentangling the molecular gas content in gas-rich galaxies at z ~ 0.15
918,C,2015.1.01301.S,Hashimoto Jun,EA,4,6,14.2,0.0,0.0,0.0,Gas Dissipation through Disk Evolution in Transitional Disk Systems with Large Cavities
919,C,2015.1.01140.S,Tsai An-Li,EA,2,3,1.3,2.6,5.2,0.0,Do galaxies lose molecular gas more than expected?
920,U,2015.1.00701.S,Mardones Diego,CL,3,47,9.3,8.0,0.0,0.0,The missing links between gas and dust chemistry in Orion
921,U,2015.1.00157.S,Ferkinhoff Carl,EU,1,7346,9.3,0.0,0.0,0.0,CO-excitation in star-forming [CII] emitters at high-z 
922,C,2015.1.01193.S,Rivilla Victor Manuel,EU,3,3,3.0,0.0,0.0,0.0,HCO as a precursor of astrobiological molecules
923,U,2015.1.01554.S,Johnson Helen,EU,2,6,5.1,0.0,0.0,0.0,From Star Forming Galaxies to Passive Spheroids: Gas Masses and Dynamics of Dusty Starbursts in Distant Galaxy Clusters
924,U,2015.1.00536.S,Pericaud Jessica,EU,4,73,7.6,0.0,0.0,0.0,Gas-dust coupling in the double-ring HD141569A hybrid disk
925,U,2015.1.00968.S,Canovas Hector,CL,3,7,2.0,0.0,0.0,0.0,Z CMa as a laboratory to study early stellar evolution
926,U,2015.1.00828.S,Perez Laura,NA,4,63,10.3,0.0,0.0,0.0,Grain growth and sub-structure in protoplanetary disks
927,U,2015.1.01081.S,Noda Hirofumi,EA,2,3,6.5,0.0,0.0,0.0,ALMA Studies of Jet Cores in Broad-Line Seyfert Galaxies
928,U,2015.1.01063.S,Rosolowsky Erik,NA,2,37,5.8,0.0,0.0,0.0,The Anatomy of a Spiral Arm: Cloud Excitation and Clump Formation at 2 pc Resolution
929,U,2015.1.01427.S,Ikarashi Soh,EA,1,6,6.7,0.0,0.0,0.0,High-fidelity continuum imaging of AzTEC sources in CANDELS-UDS
930,C,2015.1.01129.S,Ohta Kouji,EA,1,3,8.2,0.0,0.0,0.0,Molecular clumps in a star-forming galaxy at z~1.4
931,U,2015.1.01443.T,Ribeiro Valerio,EU,5,346,6.0,0.0,0.0,3.3,ALMA observations of novae -- a new paradigm
932,U,2015.1.01035.S,Sanhueza Patricio,EA,3,7,4.1,0.0,0.0,4.1,Revealing the importance of magnetic fields in the earliest stages of the formation of high-mass stars
933,U,2015.1.00880.S,Peixinho Nuno,CL,4,7,3.2,0.0,0.0,0.0,Testing Solar System formation models with a possible interloper in the Kuiper Belt
934,U,2015.1.00342.S,Salyk Colette,NA,4,7,5.4,0.0,0.0,0.0,Determining the origin of water vapor emission around the young stars HL Tau and AS 205 N
935,C,2015.1.01069.S,Nagai Hiroshi,EA,2,3,7.2,0.0,0.0,7.2,High Resolution Polarimetric Observation of PKS 0637-752: A Test of Particle Acceleration Theory in Large-scale Jets
936,U,2015.1.01237.S,Yusef-Zadeh Farhad,NA,3,3,1.4,0.0,0.0,0.0,The Interaction of the G0.13-0.13 Molecular Cloud with the Galactic Center Radio Arc
937,U,2015.1.01186.S,Saito Tomoki,EA,1,6,2.9,0.0,0.0,0.0,On the FIR emissivity of Lya emitters at z~3-4
938,U,2015.1.00208.S,Hirota Tomoya,EA,3,6,3.5,0.0,0.0,3.5,Origin of the 232 GHz H2O line in Orion Source I
939,U,2015.1.01370.S,Temporin Sonia,EU,2,36,17.2,0.0,0.0,0.0,Dusty starbursts in galaxy clusters at z ~ 0.4 and 1.0
940,U,2015.1.00950.S,Abraham Roberto,NA,2,6,5.2,0.0,0.0,5.2,"Resolving the Jeans length in a CO map of a turbulent, clumpy disk"
941,U,2015.1.01149.S,Hatsukade Bunyo,EA,1,6,4.0,0.0,0.0,4.0,Local Environment of a Dark Gamma-ray Burst
942,U,2015.1.01291.S,Huang Po-Sheng,EA,5,7,0.9,0.0,0.0,0.9,Resolving the Dense Core of the Multipolar PPN CRL 618
943,U,2015.1.00465.S,Grosso Nicolas,EU,4,63,3.9,2.1,0.0,0.0,Circumbinary and circumstellar environment of Herbig-Ae protobinaries: the YLW 15 case
944,U,2015.1.00140.S,Cieza Lucas,CL,4,7,10.6,0.0,0.0,0.0,A Band-7 Survey of all Disks in Ophiuchus
945,U,2015.1.01412.S,Ruiz Maria Teresa,CL,3,7,5.6,0.0,0.0,0.0,Multiplicity at the earliest stages of star formation
946,C,2015.1.01433.S,Mueller Cornelia,EU,2,36,6.0,5.3,0.0,0.0,Exploring the unidentified gamma-ray sources in the Galactic plane with ALMA
947,U,2015.1.00564.S,Lee Min-Young,EU,3,98,2.1,4.3,0.0,2.1,Unraveling the Processes of Molecular Gas Excitation in N159W with ALMA
948,U,2015.1.00002.S,Ivison Rob,EU,1,7,5.3,0.0,0.0,0.0,Witnessing the birth of the red sequence: the physical scale and morphology of ultra-red starbursts
949,U,2015.1.00919.S,Higdon Sarah,NA,2,3,10.7,0.0,0.0,0.0,Fundamental Properties of GMCs in Star Forming Nuclear Rings 
950,U,2015.1.00963.S,Johnson Michael,NA,2,3,9.1,0.0,0.0,9.1,Structure and Dynamics of Magnetic Fields Threading the Accretion Flow of Sgr A*
951,U,2015.1.00621.S,Peel Mike,EU,5,36,6.0,0.0,0.0,6.0,Searching for magnetic dust and missing iron around L2 Puppis
952,U,2015.1.00830.S,Ricci Luca,NA,4,6,7.0,0.0,0.0,0.0,Investigating the structure of the HD107146 debris disk at high angular resolution with ALMA
