CODE	Executive	SB_name	SB_uid	State	Priority	Array	reqExecs	qaa	qab	status	
2012.1.00501.S	NA 	query - Amp Cal 	uid://A002/X788a57/X37 	READY 	HIGHEST 	TP-ARRAY 	3 	0 	1	Carry over	
2012.1.00522.S	NA 	MonR2_662GHz_12m 	uid://A002/X684eb5/X10f 	READY 	HIGHEST 	C32-4,C32-5 	1 	0 	0	Carry over	
2012.1.00524.S	EU 	R_Aqr_b7_12m 	uid://A002/X684eb5/X294 	READY 	HIGHEST 	C32-1,C32-2 	3 	0 	0	Carry over	
2012.1.00524.S	EU 	pi_Gru_b7_12m 	uid://A002/X684eb5/X292 	READY 	HIGHEST 	C32-2 	2 	1 	1	Carry over	
2012.1.00539.S	NA 	Q09498_107_12m_C32-56 	uid://A002/X5d7935/X2d5 	READY 	HIGHEST 	C32-5,C32-6 	1 	0 	0	Carry over	
2012.1.00539.S	NA 	Q14286-Q15115_105_12m_C32-56 	uid://A002/X5d7935/X2ee 	READY 	HIGHEST 	C32-5,C32-6 	2 	0 	0	Carry over	
2012.1.00539.S	NA 	Q14550_101_12m_C32-56 	uid://A002/X5d7935/X2d7 	READY 	HIGHEST 	C32-6 	1 	0 	0	Carry over	
2012.1.00543.S	EU 	SgrAstar - TP Science 	uid://A002/X684eb5/X20a 	READY 	HIGHEST 	TP-ARRAY 	9 	0 	0	Carry over	
2012.1.00543.S	EU 	SgrAstar_12m 	uid://A002/X684eb5/X207 	READY 	HIGHEST 	C32-2 	2 	1 	1	Carry over	
2012.1.00543.S	EU 	query - TP Amp Cal 	uid://A002/X684eb5/X209 	READY 	HIGHEST 	TP-ARRAY 	9 	0 	0	Carry over	
2012.1.00550.S	CL 	IRAS16547-4247_12m_B7_repeat_x1_b 	uid://A002/X7d1738/X106 	READY 	HIGHEST 	C32-6 	1 	0 	0	Carry over	
2012.1.00584.T	EA 	Supernova_ToO_upon_a_discovery-band3 	uid://A002/X5a9a13/X6f4 	READY 	HIGHEST 	C32-4,C32-5,C32-6 	1 	0 	0	Carry over	
2012.1.00584.T	EA 	Supernova_ToO_upon_a_discovery-band6 	uid://A002/X5a9a13/X6f5 	READY 	HIGHEST 	C32-3,C32-4,C32-5,C32-6 	1 	0 	0	Carry over	
2012.1.00584.T	EA 	Supernova_ToO_upon_a_discovery-band7 	uid://A002/X5a9a13/X6f6 	READY 	HIGHEST 	C32-3,C32-4,C32-5,C32-6 	1 	0 	0	Carry over	
2012.1.00596.S	NA 	RX_J094144_QSO_675_12m_C32-3 	uid://A002/X5ce05d/Xee 	READY 	HIGHEST 	C32-5,C32-6 	1 	0 	0	Carry over	
2012.1.00596.S	NA 	RX_J094144_SMG_675_12m_C32-3 	uid://A002/X5ce05d/Xf0 	READY 	HIGHEST 	C32-5,C32-6 	1 	0 	0	Carry over	
