specRef,specRef,SB_UID,Name,BaseBands,SPWs
X23020182,X23020182,uid://A001/X2c0/X353d,HNC & TiO & 46TiO  Science setup_1,4,4
X17741423,X17741423,uid://A001/X2c0/X353e,B6 Pointing Setup,4,4
X14998158,X14998158,uid://A001/X2c0/X353e,TiO&TiO2-221 Science setup_1,4,4
X8591408,X8591408,uid://A001/X2c0/X3342,B3 Pointing Setup,4,4
X22628939,X22628939,uid://A001/X2c0/X3342,CO v=0 1-0 Science setup_1,2,2
X4455447,X4455447,uid://A001/X2c0/X3343,B3 Pointing Setup,4,4
X17493774,X17493774,uid://A001/X2c0/X3343,CO v=0 1-0 Science setup_1,2,2
X26777315,X26777315,uid://A001/X2c0/X3344,B3 Pointing Setup,4,4
X33450787,X33450787,uid://A001/X2c0/X3344,CO v=0 1-0 Science setup_1,2,2
X28021004,X28021004,uid://A001/X2c0/X3345,B3 Pointing Setup,4,4
X18623292,X18623292,uid://A001/X2c0/X3345,CO v=0 1-0 Science setup_1,2,2
X2234766,X2234766,uid://A001/X2c0/X3346,B3 Pointing Setup,4,4
X665878,X665878,uid://A001/X2c0/X3346,CO v=0 1-0 Science setup_1,2,2
X6621902,X6621902,uid://A001/X2c0/X224f,B6 Pointing Setup,4,4
X27262597,X27262597,uid://A001/X2c0/X224f,CO  v=0 2-1 Science setup_1,4,4
X31787902,X31787902,uid://A001/X2c0/X2bd3,B6 Pointing Setup,4,4
X5033965,X5033965,uid://A001/X2c0/X2bd3,"D2O 2(1,1)-2(0,2) Science setup",4,6
X23508351,X23508351,uid://A001/X2c0/X2bd3,"D2O 2(1,1)-2(0,2) Science setup_1",4,6
X14220887,X14220887,uid://A001/X2c0/X2bd3,"D2O 2(1,1)-2(0,2) Science setup",4,6
X19805845,X19805845,uid://A001/X2c0/X2bd4,B6 Pointing Setup,4,4
X17112406,X17112406,uid://A001/X2c0/X2bd4,"HDO 1(0,1)-0(0,0) Science setup",4,6
X10464608,X10464608,uid://A001/X2c0/X2bd4,"HDO 1(0,1)-0(0,0) Science setup_1",4,6
X11339252,X11339252,uid://A001/X2c0/X2bd4,"HDO 1(0,1)-0(0,0) Science setup",4,6
X2862078,X2862078,uid://A001/X2c0/X2bd5,B6 Pointing Setup,4,4
X20808017,X20808017,uid://A001/X2c0/X2bd5,"H2-18O 4(2,3)-3(3,0) Science setup",4,6
X8940918,X8940918,uid://A001/X2c0/X2bd5,"H2-18O 4(2,3)-3(3,0) Science setup_1",4,6
X4704580,X4704580,uid://A001/X2c0/X2bd5,"H2-18O 4(2,3)-3(3,0) Science setup",4,6
X12985081,X12985081,uid://A001/X2c0/X2bd6,B6 Pointing Setup,4,4
X30524959,X30524959,uid://A001/X2c0/X2bd6,"D2O 1(1,1)-0(0,0) Science setup",4,10
X31947485,X31947485,uid://A001/X2c0/X2bd6,"D2O 1(1,1)-0(0,0) Science setup_1",4,10
X8761264,X8761264,uid://A001/X2c0/X2bd6,"D2O 1(1,1)-0(0,0) Science setup",4,10
X4673753,X4673753,uid://A001/X2c0/X3498,B3 Pointing Setup,4,4
X31146182,X31146182,uid://A001/X2c0/X3498,N2H+ v=0 J=1-0 Science setup,3,3
X9029313,X9029313,uid://A001/X2c0/X3498,N2H+ v=0 J=1-0 Science setup_1,3,3
X20543636,X20543636,uid://A001/X2c0/X3499,B3 Pointing Setup,4,4
X23207158,X23207158,uid://A001/X2c0/X3499,N2H+ v=0 J=1-0 Science setup,3,3
X21608217,X21608217,uid://A001/X2c0/X3499,N2H+ v=0 J=1-0 Science setup_1,3,3
X17232839,X17232839,uid://A001/X2c0/X349a,B3 Pointing Setup,4,4
X22351321,X22351321,uid://A001/X2c0/X349a,CO3-2 (z=2.13) Science setup_1,4,4
X18289216,X18289216,uid://A001/X2c0/X349b,B3 Pointing Setup,4,4
X3982472,X3982472,uid://A001/X2c0/X349b,CO2-1 (z=1.67) Science setup_1,4,4
X19342680,X19342680,uid://A001/X2c0/X349c,B3 Pointing Setup,4,4
X11527206,X11527206,uid://A001/X2c0/X349c,CO2-1 (z=1.44) Science setup_1,4,4
X5864591,X5864591,uid://A001/X2c0/X349d,B6 Pointing Setup,4,4
X9463241,X9463241,uid://A001/X2c0/X349d,CO6-5 (z=1.674) Science setup_1,4,4
X21487963,X21487963,uid://A001/X2c0/X2178,B6 Pointing Setup,4,4
X18892621,X18892621,uid://A001/X2c0/X2178,SkyCont(233.0 GHz) Science setup_1,4,4
X9002854,X9002854,uid://A001/X2c0/X3529,B4 Pointing Setup,4,4
X28216466,X28216466,uid://A001/X2c0/X3529,CO v=0 3-2 Science setup_1,4,4
X8964397,X8964397,uid://A001/X2c0/X352a,B6 Pointing Setup,4,4
X29144210,X29144210,uid://A001/X2c0/X352a,CO v=0 5-4 Science setup_1,4,4
X3921231,X3921231,uid://A001/X2c0/X352b,B6 Pointing Setup,4,4
X4895321,X4895321,uid://A001/X2c0/X352b,CO v=0 7-6 Science setup_1,4,4
X28119028,X28119028,uid://A001/X2c0/X352c,B6 Pointing Setup,4,4
X25714655,X25714655,uid://A001/X2c0/X352c,CO v=0 7-6 Science setup_1,4,4
X708446,X708446,uid://A001/X2c0/X3470,B3 Pointing Setup,4,4
X17626277,X17626277,uid://A001/X2c0/X3470,CO v=0 1-0 Science setup_1,4,4
X25894466,X25894466,uid://A001/X2c0/X3471,B3 Pointing Setup,4,4
X10983140,X10983140,uid://A001/X2c0/X3471,CO v=0 1-0 Science setup_1,4,4
X13413740,X13413740,uid://A001/X2c0/X3472,B6 Pointing Setup,4,4
X9991160,X9991160,uid://A001/X2c0/X3472,C18O 2-1 Science setup_1,4,4
X24684496,X24684496,uid://A001/X2c0/X3473,B6 Pointing Setup,4,4
X10008201,X10008201,uid://A001/X2c0/X3473,C18O 2-1 Science setup_1,4,4
X2363597,X2363597,uid://A001/X2c0/X3474,B6 Pointing Setup,4,4
X16147624,X16147624,uid://A001/X2c0/X3474,C18O 3-2 Science setup_1,4,4
X27927867,X27927867,uid://A001/X2c0/X3475,B6 Pointing Setup,4,4
X22790145,X22790145,uid://A001/X2c0/X3475,C18O 3-2 Science setup_1,4,4
X6853908,X6853908,uid://A001/X2c0/X3476,B3 Pointing Setup,4,4
X16532364,X16532364,uid://A001/X2c0/X3476,CO v=0 1-0 Science setup_1,4,4
X17593112,X17593112,uid://A001/X2c0/X3477,B6 Pointing Setup,4,4
X18313198,X18313198,uid://A001/X2c0/X3477,C18O 3-2 Science setup_1,4,4
X2794904,X2794904,uid://A001/X2c0/X3479,B6 Pointing Setup,4,4
X1350868,X1350868,uid://A001/X2c0/X3479,CO Science setup,4,4
X22725485,X22725485,uid://A001/X2c0/X3479,CO Science setup_1,4,4
X29903256,X29903256,uid://A001/X2c0/X347a,B6 Pointing Setup,4,4
X2115984,X2115984,uid://A001/X2c0/X347a,CO v=0 2-1 Science setup,4,4
X7120475,X7120475,uid://A001/X2c0/X347a,CO v=0 2-1 Science setup_1,4,4
X28254100,X28254100,uid://A001/X2c0/X2a1f,B3 Pointing Setup,4,4
X8119966,X8119966,uid://A001/X2c0/X2a1f,CO v=0 3-2 Science setup_1,4,4
X14141238,X14141238,uid://A001/X2c0/X2a20,B3 Pointing Setup,4,4
X3518973,X3518973,uid://A001/X2c0/X2a20,CO v=0 3-2 Science setup_1,4,4
X23844800,X23844800,uid://A001/X2c0/X2a21,B3 Pointing Setup,4,4
X20070071,X20070071,uid://A001/X2c0/X2a21,CO v=0 3-2 Science setup_1,4,4
X26247695,X26247695,uid://A001/X2c0/X3496,B6 Pointing Setup,4,4
X19064075,X19064075,uid://A001/X2c0/X3496,HCN v=0 J=4-3 Science setup,4,6
X26584618,X26584618,uid://A001/X2c0/X3496,HCN v=0 J=4-3 Science setup_1,4,6
X2287030,X2287030,uid://A001/X2c0/X34a0,B6 Pointing Setup,4,4
X20941816,X20941816,uid://A001/X2c0/X34a0,CO v=0 6-5 Science setup_1,4,4
