targetId,targetId,SB_UID,specRef,fieldRef,paramRef
X13451989,X13451989,uid://A001/X2c0/X3195,X9629366,X22072900,X6700847
X15946178,X15946178,uid://A001/X2c0/X3195,X9629366,X18175379,X6700847
X21822295,X21822295,uid://A001/X2c0/X3196,X6782305,X9218934,X21842040
X12699457,X12699457,uid://A001/X2c0/X3196,X6782305,X24175838,X25219559
X11886974,X11886974,uid://A001/X2c0/X3196,X21898554,X463885,X27988340
X13639757,X13639757,uid://A001/X2c0/X3196,X21898554,X20063195,X30405905
X25798981,X25798981,uid://A001/X2c0/X3196,X21898554,X11656843,X15706811
X28588811,X28588811,uid://A001/X2c0/X3196,X21898554,X19063473,X28644784
X1481765,X1481765,uid://A001/X2c0/X3196,X21898554,X20769551,X28644784
X28159462,X28159462,uid://A001/X2c0/X3196,X21898554,X4640581,X28644784
X19558479,X19558479,uid://A001/X2c0/X3196,X21898554,X2777715,X28644784
X25000704,X25000704,uid://A001/X2c0/X3196,X21898554,X7174030,X28644784
X30399844,X30399844,uid://A001/X2c0/X3197,X26041414,X455004,X28145854
X30799827,X30799827,uid://A001/X2c0/X3197,X26041414,X9339256,X22053339
X18856525,X18856525,uid://A001/X2c0/X3197,X29527243,X8384239,X17669132
X29656622,X29656622,uid://A001/X2c0/X3197,X29527243,X10063901,X6566578
X6208915,X6208915,uid://A001/X2c0/X3197,X29527243,X22963603,X19145380
X21107903,X21107903,uid://A001/X2c0/X3197,X29527243,X10729773,X30479155
X1225495,X1225495,uid://A001/X2c0/X3197,X29527243,X16163715,X30479155
X13964148,X13964148,uid://A001/X2c0/X3197,X29527243,X14714958,X30479155
X27167436,X27167436,uid://A001/X2c0/X3197,X29527243,X27158227,X30479155
X9978026,X9978026,uid://A001/X2c0/X3197,X29527243,X12643534,X30479155
X30271159,X30271159,uid://A001/X2c0/X3198,X19446385,X18297321,X23275385
X13320270,X13320270,uid://A001/X2c0/X3198,X19446385,X19182739,X24254024
X21710354,X21710354,uid://A001/X2c0/X3198,X31351582,X3211592,X26449237
X23782833,X23782833,uid://A001/X2c0/X3198,X31351582,X27101305,X23861705
X251944,X251944,uid://A001/X2c0/X3198,X31351582,X1072111,X14416470
X19626378,X19626378,uid://A001/X2c0/X3198,X31351582,X17662422,X24650604
X27255688,X27255688,uid://A001/X2c0/X3198,X31351582,X16970438,X24650604
X9810341,X9810341,uid://A001/X2c0/X3198,X31351582,X7729233,X24650604
X20087421,X20087421,uid://A001/X2c0/X3198,X31351582,X26724017,X24650604
X6349753,X6349753,uid://A001/X2c0/X3198,X31351582,X24994066,X24650604
X29758071,X29758071,uid://A001/X2c0/X3199,X18900211,X30635387,X13948760
X5333651,X5333651,uid://A001/X2c0/X3199,X18900211,X29340231,X7233029
X18692826,X18692826,uid://A001/X2c0/X3199,X14897855,X29436855,X774379
X24374057,X24374057,uid://A001/X2c0/X3199,X14897855,X32066526,X17052866
X32485934,X32485934,uid://A001/X2c0/X3199,X14897855,X22418138,X10249141
X20989955,X20989955,uid://A001/X2c0/X3199,X14897855,X2206231,X5785194
X13103647,X13103647,uid://A001/X2c0/X3199,X14897855,X21672230,X5785194
X26559624,X26559624,uid://A001/X2c0/X3199,X14897855,X276417,X5785194
X10606309,X10606309,uid://A001/X2c0/X3199,X14897855,X20792047,X5785194
X10235353,X10235353,uid://A001/X2c0/X3199,X14897855,X288208,X5785194
X11944101,X11944101,uid://A001/X2c0/X319a,X17496277,X5568825,X22026978
X3473272,X3473272,uid://A001/X2c0/X319a,X17496277,X9950542,X15398546
X3662999,X3662999,uid://A001/X2c0/X319a,X1519883,X25716564,X21936589
X14451104,X14451104,uid://A001/X2c0/X319a,X1519883,X9893298,X31231029
X10842582,X10842582,uid://A001/X2c0/X319a,X1519883,X11360478,X19759598
X20394809,X20394809,uid://A001/X2c0/X319a,X1519883,X26464244,X21713880
X15239932,X15239932,uid://A001/X2c0/X319a,X1519883,X5943947,X21713880
X7144843,X7144843,uid://A001/X2c0/X319a,X1519883,X14769657,X21713880
X19996671,X19996671,uid://A001/X2c0/X319a,X1519883,X7988752,X21713880
X15940599,X15940599,uid://A001/X2c0/X319a,X1519883,X31573629,X21713880
X15111568,X15111568,uid://A001/X2c0/X31bd,X3144510,X27545999,X29638316
X28996508,X28996508,uid://A001/X2c0/X31bd,X3144510,X11515285,X31650740
X506696,X506696,uid://A001/X2c0/X31bd,X20696579,X25396943,X8863778
X4519093,X4519093,uid://A001/X2c0/X31bd,X20696579,X14524484,X31408833
X28861919,X28861919,uid://A001/X2c0/X31bd,X20696579,X8149253,X30172920
X19479776,X19479776,uid://A001/X2c0/X31bd,X20696579,X24184467,X17043402
X24767016,X24767016,uid://A001/X2c0/X4158,X16810205,X18231111,X21993448
X21669146,X21669146,uid://A001/X2c0/X4158,X16810205,X29464983,X9377000
X24264562,X24264562,uid://A001/X2c0/X4158,X21841389,X712181,X4709681
X32049064,X32049064,uid://A001/X2c0/X4158,X21841389,X24093138,X4149752
X29894970,X29894970,uid://A001/X2c0/X4158,X21841389,X24093138,X15550479
X14785479,X14785479,uid://A001/X2c0/X4158,X21841389,X8659508,X30314699
X18036085,X18036085,uid://A001/X2c0/X4158,X21841389,X32463616,X30804772
X1090996,X1090996,uid://A001/X2c0/X4158,X21841389,X32573633,X30804772
X5000715,X5000715,uid://A001/X2c0/X415a,X5427821,X33159431,X1284130
X27035361,X27035361,uid://A001/X2c0/X415a,X5427821,X2451259,X4460765
