targetId,targetId,SB_UID,indObs,name
X4519093,X4519093,uid://A001/X2c0/X31bd,0,Science
X19479776,X19479776,uid://A001/X2c0/X31bd,0,Science
X24767016,X24767016,uid://A001/X2c0/X4158,0,Calibrators
X24264562,X24264562,uid://A001/X2c0/X4158,0,Calibrators
X14785479,X14785479,uid://A001/X2c0/X4158,0,Calibrators
X21669146,X21669146,uid://A001/X2c0/X4158,0,Science
X32049064,X32049064,uid://A001/X2c0/X4158,0,Science
X29894970,X29894970,uid://A001/X2c0/X4158,0,Science
X18036085,X18036085,uid://A001/X2c0/X4158,0,Science
X1090996,X1090996,uid://A001/X2c0/X4158,0,Science
X5000715,X5000715,uid://A001/X2c0/X415a,0,Calibrators
X22419212,X22419212,uid://A001/X2c0/X415a,0,Calibrators
X20171313,X20171313,uid://A001/X2c0/X415a,0,Calibrators
X27035361,X27035361,uid://A001/X2c0/X415a,0,Science
X18685877,X18685877,uid://A001/X2c0/X415a,0,Science
X31371257,X31371257,uid://A001/X2c0/X415a,0,Science
X20102240,X20102240,uid://A001/X2c0/X415a,0,Science
X23101721,X23101721,uid://A001/X2c0/X273c,0,Calibrators
X27877466,X27877466,uid://A001/X2c0/X273c,0,Calibrators
X15098021,X15098021,uid://A001/X2c0/X273c,0,Calibrators
X33349277,X33349277,uid://A001/X2c0/X273c,0,Science
X4207599,X4207599,uid://A001/X2c0/X273c,0,Science
X13059359,X13059359,uid://A001/X2c0/X273c,0,Science
X2137250,X2137250,uid://A001/X2c0/X273c,0,Science
X20868179,X20868179,uid://A001/X2c0/X273d,0,Calibrators
X30657205,X30657205,uid://A001/X2c0/X273d,0,Calibrators
X4709164,X4709164,uid://A001/X2c0/X273d,0,Calibrators
X15812843,X15812843,uid://A001/X2c0/X273d,0,Science
X2306498,X2306498,uid://A001/X2c0/X273d,0,Science
X2178320,X2178320,uid://A001/X2c0/X273d,0,Science
X26658724,X26658724,uid://A001/X2c0/X273d,0,Science
X4263816,X4263816,uid://A001/X2c0/X273e,0,Calibrators
X20853495,X20853495,uid://A001/X2c0/X273e,0,Calibrators
X4362936,X4362936,uid://A001/X2c0/X273e,0,Calibrators
X13550619,X13550619,uid://A001/X2c0/X273e,0,Science
X30255501,X30255501,uid://A001/X2c0/X273e,0,Science
X10416260,X10416260,uid://A001/X2c0/X273e,0,Science
X22791007,X22791007,uid://A001/X2c0/X273e,0,Science
X22034910,X22034910,uid://A001/X2c0/X273f,0,Calibrators
X17482587,X17482587,uid://A001/X2c0/X273f,0,Calibrators
X26976978,X26976978,uid://A001/X2c0/X273f,0,Calibrators
X25615585,X25615585,uid://A001/X2c0/X273f,0,Science
X2185686,X2185686,uid://A001/X2c0/X273f,0,Science
X8443901,X8443901,uid://A001/X2c0/X273f,0,Science
X10036491,X10036491,uid://A001/X2c0/X273f,0,Science
X20486148,X20486148,uid://A001/X2c0/X2740,0,Calibrators
X32202609,X32202609,uid://A001/X2c0/X2740,0,Calibrators
X17663961,X17663961,uid://A001/X2c0/X2740,0,Calibrators
X4197763,X4197763,uid://A001/X2c0/X2740,0,Science
X2753584,X2753584,uid://A001/X2c0/X2740,0,Science
X21289090,X21289090,uid://A001/X2c0/X2740,0,Science
X12358785,X12358785,uid://A001/X2c0/X2740,0,Science
X20066586,X20066586,uid://A001/X2c0/X2741,0,Calibrators
X8995526,X8995526,uid://A001/X2c0/X2741,0,Calibrators
X20753041,X20753041,uid://A001/X2c0/X2741,0,Calibrators
X4516957,X4516957,uid://A001/X2c0/X2741,0,Science
X33533417,X33533417,uid://A001/X2c0/X2741,0,Science
X33314223,X33314223,uid://A001/X2c0/X2741,0,Science
X15252477,X15252477,uid://A001/X2c0/X2741,0,Science
X13510482,X13510482,uid://A001/X2c0/X415c,0,Calibrators
X33194405,X33194405,uid://A001/X2c0/X415c,0,Calibrators
X30334664,X30334664,uid://A001/X2c0/X415c,0,Calibrators
