TARG_ID,TARG_ID,OBSPROJECT_UID,SG_ID,tarType,solarSystem,sourceName,RA,DEC,isMosaic,centerVel,centerVel_units,centerVel_refsys,centerVel_doppler,lineWidth
uid://A001/X1ee/X12cb_06_2,uid://A001/X1ee/X12cb_06_2,uid://A001/X1ee/X12cb,uid://A001/X1ee/X12cb_06,F_MultiplePoints,Unspecified,hm696881,150.51499166666667,2.3571916666666666,False,0.0,km/s,lsrk,RADIO,0.0
uid://A001/X1ee/X12cb_06_3,uid://A001/X1ee/X12cb_06_3,uid://A001/X1ee/X12cb,uid://A001/X1ee/X12cb_06,F_MultiplePoints,Unspecified,hm569492,150.62329583333334,2.167466666666667,False,0.0,km/s,lsrk,RADIO,0.0
uid://A001/X1ee/X12cb_06_4,uid://A001/X1ee/X12cb_06_4,uid://A001/X1ee/X12cb,uid://A001/X1ee/X12cb_06,F_MultiplePoints,Unspecified,hm551168,150.5428,2.1396944444444443,False,0.0,km/s,lsrk,RADIO,0.0
uid://A001/X1ee/X12cb_06_5,uid://A001/X1ee/X12cb_06_5,uid://A001/X1ee/X12cb,uid://A001/X1ee/X12cb_06,F_MultiplePoints,Unspecified,hm578088,150.4203625,2.1799444444444442,False,0.0,km/s,lsrk,RADIO,0.0
uid://A001/X1ee/X12cb_07_1,uid://A001/X1ee/X12cb_07_1,uid://A001/X1ee/X12cb,uid://A001/X1ee/X12cb_07,F_MultiplePoints,Unspecified,hm772822,150.41134166666666,2.469475,False,0.0,km/s,lsrk,RADIO,0.0
uid://A001/X1ee/X12cb_07_2,uid://A001/X1ee/X12cb_07_2,uid://A001/X1ee/X12cb,uid://A001/X1ee/X12cb_07,F_MultiplePoints,Unspecified,hm696881,150.51499166666667,2.3571916666666666,False,0.0,km/s,lsrk,RADIO,0.0
uid://A001/X1ee/X12cb_07_3,uid://A001/X1ee/X12cb_07_3,uid://A001/X1ee/X12cb,uid://A001/X1ee/X12cb_07,F_MultiplePoints,Unspecified,hm569492,150.62329583333334,2.167466666666667,False,0.0,km/s,lsrk,RADIO,0.0
uid://A001/X1ee/X12cb_07_4,uid://A001/X1ee/X12cb_07_4,uid://A001/X1ee/X12cb,uid://A001/X1ee/X12cb_07,F_MultiplePoints,Unspecified,hm551168,150.5428,2.1396944444444443,False,0.0,km/s,lsrk,RADIO,0.0
uid://A001/X1ee/X12cb_07_5,uid://A001/X1ee/X12cb_07_5,uid://A001/X1ee/X12cb,uid://A001/X1ee/X12cb_07,F_MultiplePoints,Unspecified,hm578088,150.4203625,2.1799444444444442,False,0.0,km/s,lsrk,RADIO,0.0
uid://A001/X1ee/X12cb_08_1,uid://A001/X1ee/X12cb_08_1,uid://A001/X1ee/X12cb,uid://A001/X1ee/X12cb_08,F_MultiplePoints,Unspecified,hm772822,150.41134166666666,2.469475,False,0.0,km/s,lsrk,RADIO,0.0
uid://A001/X1ee/X12cb_08_2,uid://A001/X1ee/X12cb_08_2,uid://A001/X1ee/X12cb,uid://A001/X1ee/X12cb_08,F_MultiplePoints,Unspecified,hm696881,150.51499166666667,2.3571916666666666,False,0.0,km/s,lsrk,RADIO,0.0
uid://A001/X1ee/X12cb_08_3,uid://A001/X1ee/X12cb_08_3,uid://A001/X1ee/X12cb,uid://A001/X1ee/X12cb_08,F_MultiplePoints,Unspecified,hm569492,150.62329583333334,2.167466666666667,False,0.0,km/s,lsrk,RADIO,0.0
uid://A001/X1ee/X12cb_08_4,uid://A001/X1ee/X12cb_08_4,uid://A001/X1ee/X12cb,uid://A001/X1ee/X12cb_08,F_MultiplePoints,Unspecified,hm551168,150.5428,2.1396944444444443,False,0.0,km/s,lsrk,RADIO,0.0
uid://A001/X1ee/X12cb_08_5,uid://A001/X1ee/X12cb_08_5,uid://A001/X1ee/X12cb,uid://A001/X1ee/X12cb_08,F_MultiplePoints,Unspecified,hm578088,150.4203625,2.1799444444444442,False,0.0,km/s,lsrk,RADIO,0.0
uid://A001/X1ed/X1351_01_1,uid://A001/X1ed/X1351_01_1,uid://A001/X1ed/X1351,uid://A001/X1ed/X1351_01,F_SingleRectangle,Unspecified,ORION-CENTER_SV,83.80979166666667,-5.376388888888889,True,8.99986491058358,km/s,lsr,RADIO,0.0029919801110366547
uid://A001/X1ee/Xfb9_01_1,uid://A001/X1ee/Xfb9_01_1,uid://A001/X1ee/Xfb9,uid://A001/X1ee/Xfb9_01,F_MultiplePoints,Unspecified,G23.389+00.185,278.3096875,-8.399297222222222,False,75.4,km/s,lsrk,RADIO,0.003381183447357941
uid://A001/X1ee/Xfb9_01_2,uid://A001/X1ee/Xfb9_01_2,uid://A001/X1ee/Xfb9,uid://A001/X1ee/Xfb9_01,F_MultiplePoints,Unspecified,G23.207-00.377,278.73005,-8.820802777777779,False,77.0999775591248,km/s,lsrk,RADIO,0.003381164269483909
uid://A001/X1ee/Xfc8_01_1,uid://A001/X1ee/Xfc8_01_1,uid://A001/X1ee/Xfc8,uid://A001/X1ee/Xfc8_01,F_MultiplePoints,Unspecified,FU_Ori,86.343154,9.070111,False,11.8,km/s,lsr,RADIO,0.003661728474514282
uid://A001/X1ed/X64d_01_1,uid://A001/X1ed/X64d_01_1,uid://A001/X1ed/X64d,uid://A001/X1ed/X64d_01,F_MultiplePoints,Unspecified,mwc480,74.692772262,29.843604178,False,0.0,km/s,lsrk,RADIO,0.0036844155699207047
uid://A001/X1ed/X64d_01_2,uid://A001/X1ed/X64d_01_2,uid://A001/X1ed/X64d,uid://A001/X1ed/X64d_01,F_MultiplePoints,Unspecified,lkca15,69.82415,22.3509667,False,0.0,km/s,lsrk,RADIO,0.003684415569920706
uid://A001/X1ed/X64d_02_1,uid://A001/X1ed/X64d_02_1,uid://A001/X1ed/X64d,uid://A001/X1ed/X64d_02,F_MultiplePoints,Unspecified,mwc480,74.692772262,29.843604178,False,0.0,km/s,lsrk,RADIO,0.003734450184200431
uid://A001/X1ed/X64d_02_2,uid://A001/X1ed/X64d_02_2,uid://A001/X1ed/X64d,uid://A001/X1ed/X64d_02,F_MultiplePoints,Unspecified,lkca15,69.82415,22.3509667,False,0.0,km/s,lsrk,RADIO,0.003734450184200431
uid://A001/X1ed/X64d_03_1,uid://A001/X1ed/X64d_03_1,uid://A001/X1ed/X64d,uid://A001/X1ed/X64d_03,F_MultiplePoints,Unspecified,mwc480,74.692772262,29.843604178,False,0.0,km/s,lsrk,RADIO,0.0037944917213360908
uid://A001/X1ed/X64d_03_2,uid://A001/X1ed/X64d_03_2,uid://A001/X1ed/X64d,uid://A001/X1ed/X64d_03,F_MultiplePoints,Unspecified,lkca15,69.82415,22.3509667,False,0.0,km/s,lsrk,RADIO,0.0037944917213360908
uid://A001/X1ed/X64d_04_1,uid://A001/X1ed/X64d_04_1,uid://A001/X1ed/X64d,uid://A001/X1ed/X64d_04,F_MultiplePoints,Unspecified,mwc480,74.692772262,29.843604178,False,0.0,km/s,lsrk,RADIO,0.003992628793883793
uid://A001/X1ed/X64d_04_2,uid://A001/X1ed/X64d_04_2,uid://A001/X1ed/X64d,uid://A001/X1ed/X64d_04,F_MultiplePoints,Unspecified,lkca15,69.82415,22.3509667,False,0.0,km/s,lsrk,RADIO,0.003992628793883793
uid://A001/X1ed/X64d_05_1,uid://A001/X1ed/X64d_05_1,uid://A001/X1ed/X64d,uid://A001/X1ed/X64d_05,F_MultiplePoints,Unspecified,mwc480,74.692772262,29.843604178,False,0.0,km/s,lsrk,RADIO,0.004042663408163516
uid://A001/X1ed/X64d_05_2,uid://A001/X1ed/X64d_05_2,uid://A001/X1ed/X64d,uid://A001/X1ed/X64d_05,F_MultiplePoints,Unspecified,lkca15,69.82415,22.3509667,False,0.0,km/s,lsrk,RADIO,0.004042663408163516
uid://A001/X1ed/X64d_06_1,uid://A001/X1ed/X64d_06_1,uid://A001/X1ed/X64d,uid://A001/X1ed/X64d_06,F_MultiplePoints,Unspecified,mwc480,74.692772262,29.843604178,False,0.0,km/s,lsrk,RADIO,0.004092698022443239
uid://A001/X1ed/X64d_06_2,uid://A001/X1ed/X64d_06_2,uid://A001/X1ed/X64d,uid://A001/X1ed/X64d_06,F_MultiplePoints,Unspecified,lkca15,69.82415,22.3509667,False,0.0,km/s,lsrk,RADIO,0.004092698022443239
uid://A001/X1ee/Xfd3_01_1,uid://A001/X1ee/Xfd3_01_1,uid://A001/X1ee/Xfd3,uid://A001/X1ee/Xfd3_01,F_MultiplePoints,Unspecified,Serpens_Main_and_Serpens_South,277.5,1.2333333333333334,False,7.5,km/s,lsrk,RADIO,0.0003604279688804068
uid://A001/X1ee/X1407_01_1,uid://A001/X1ee/X1407_01_1,uid://A001/X1ee/X1407,uid://A001/X1ee/X1407_01,F_MultiplePoints,Unspecified,MACSJ2155.6+1231,328.92220833333334,12.530777777777777,False,149896.229,km/s,lsrk,RADIO,0.0
uid://A001/X1ee/X1407_02_1,uid://A001/X1ee/X1407_02_1,uid://A001/X1ee/X1407,uid://A001/X1ee/X1407_02,F_MultiplePoints,Unspecified,MACSJ0553.4-3342,88.36466666666666,-33.70858333333333,False,149896.229,km/s,lsrk,RADIO,0.0
uid://A001/X1ee/X1407_03_1,uid://A001/X1ee/X1407_03_1,uid://A001/X1ee/X1407,uid://A001/X1ee/X1407_03,F_MultiplePoints,Unspecified,MACSJ2332.4-5358,353.11025,-53.97811111111111,False,218767.46935135135,km/s,lsrk,RADIO,0.0
uid://A001/X1ee/X1407_04_1,uid://A001/X1ee/X1407_04_1,uid://A001/X1ee/X1407,uid://A001/X1ee/X1407_04,F_MultiplePoints,Unspecified,52909,178.32995833333334,7.927666666666667,False,192723.723,km/s,lsrk,RADIO,0.0
uid://A001/X1ee/X1407_05_1,uid://A001/X1ee/X1407_05_1,uid://A001/X1ee/X1407,uid://A001/X1ee/X1407_05,F_MultiplePoints,Unspecified,MACSJ2104.8+1401,316.22825,14.028777777777778,False,214137.47,km/s,lsrk,RADIO,0.0
uid://A001/X1ee/X1407_06_1,uid://A001/X1ee/X1407_06_1,uid://A001/X1ee/X1407,uid://A001/X1ee/X1407_06,F_MultiplePoints,Unspecified,0114-4123,18.664083333333334,-41.40086111111111,False,208946.25860606064,km/s,lsrk,RADIO,0.0
uid://A001/X1ee/X1407_07_1,uid://A001/X1ee/X1407_07_1,uid://A001/X1ee/X1407,uid://A001/X1ee/X1407_07,F_MultiplePoints,Unspecified,MACSJ0840.5+0544,130.13370833333335,5.750305555555555,False,149896.229,km/s,lsrk,RADIO,0.0
